node1URI,input,output,total
http://vgibox.eu/Wien's_law,,1,1
http://vgibox.eu/Wavelength_and_frequency,,2,2
http://vgibox.eu/Wave_model,2,,2
http://vgibox.eu/Volumetric_analysis,,1,1
http://vgibox.eu/Visualization,2,2,4
http://vgibox.eu/Visual_variable,1,2,3
http://vgibox.eu/Visual_image_interpretation,6,1,7
http://vgibox.eu/Visible_light,,1,1
http://vgibox.eu/Visibility_analysis,,1,1
http://vgibox.eu/Vertical_positioning,,1,1
http://vgibox.eu/Vertical_datum,2,1,3
http://vgibox.eu/Vertex,,1,1
http://vgibox.eu/Verification,,1,1
http://vgibox.eu/Vector_Representation,12,1,13
http://vgibox.eu/Vector_Reclassification,1,2,3
http://vgibox.eu/Vector_Proximity,2,2,4
http://vgibox.eu/Vector_Overlay,,2,2
http://vgibox.eu/Vector_Measurements,,2,2
http://vgibox.eu/Validation_of_results,1,1,2
http://vgibox.eu/Validation,,1,1
http://vgibox.eu/User_segment,1,1,2
http://vgibox.eu/User_characteristics,1,,1
http://vgibox.eu/User_Controlled,,2,2
http://vgibox.eu/Use_environment,1,,1
http://vgibox.eu/Unsupervised_Image_Classification_Algorithm,,2,2
http://vgibox.eu/Uncertainty_analysis,,1,1
http://vgibox.eu/Uncertainty,2,2,4
http://vgibox.eu/Unbiased_sampling_strategiesd,,2,2
http://vgibox.eu/UAV,,1,1
http://vgibox.eu/Tuple_selection,1,,1
http://vgibox.eu/Tuple,1,1,2
http://vgibox.eu/True_colour,2,1,3
http://vgibox.eu/Troposphere,,2,2
http://vgibox.eu/Triangulated_Irregular_Networks,1,1,2
http://vgibox.eu/Tri-stimulus_theory,2,2,4
http://vgibox.eu/Transmitted_radiance,,2,2
http://vgibox.eu/Transmittance,1,1,2
http://vgibox.eu/Transformation_model,,2,2
http://vgibox.eu/Training_set,,4,4
http://vgibox.eu/Training,2,1,3
http://vgibox.eu/Topology,,3,3
http://vgibox.eu/Topological_relationship,1,2,3
http://vgibox.eu/Topological_model,2,1,3
http://vgibox.eu/Topological_Consistency,1,2,3
http://vgibox.eu/Tone,,1,1
http://vgibox.eu/Tobler's_first_law,1,,1
http://vgibox.eu/Time_measurement,1,,1
http://vgibox.eu/Time,1,1,2
http://vgibox.eu/Thiessen_Polygons,,2,2
http://vgibox.eu/Texture,,1,1
http://vgibox.eu/Tessellation,9,1,10
http://vgibox.eu/Terrestrial_surveys,4,2,6
http://vgibox.eu/Temporal_attribute,2,2,4
http://vgibox.eu/Temporal_accuracy,,1,1
http://vgibox.eu/Table,,1,1
http://vgibox.eu/TIN,1,2,3
http://vgibox.eu/Systems_model,3,3,6
http://vgibox.eu/Systems_Dynamics,,1,1
http://vgibox.eu/Systematic_error,4,,4
http://vgibox.eu/System_Modelling,1,2,3
http://vgibox.eu/System,,2,2
http://vgibox.eu/Swadth_width,,1,1
http://vgibox.eu/Surface_Analysis,4,2,6
http://vgibox.eu/Supervised_Image_Classfication_Algorithm,3,2,5
http://vgibox.eu/Sunangle_correction,,1,1
http://vgibox.eu/Subtractive_colour_system,,1,1
http://vgibox.eu/Stratified_representativve_sampling,,2,2
http://vgibox.eu/Stereoscopic_viewing,1,,1
http://vgibox.eu/Stefan_boltzman's_law,,1,1
http://vgibox.eu/Statistical_parameter,,2,2
http://vgibox.eu/Spontaneous_recognition,,2,2
http://vgibox.eu/Sphere,1,1,2
http://vgibox.eu/Speed_of_light,1,,1
http://vgibox.eu/Spectral_signature,,1,1
http://vgibox.eu/Spectral_reflectance,2,3,5
http://vgibox.eu/Spatial_requirement,,1,1
http://vgibox.eu/Spatial_problem,2,,2
http://vgibox.eu/Spatial_database,1,2,3
http://vgibox.eu/Spatial_data_acquisition,9,2,11
http://vgibox.eu/Spatial_data,6,4,10
http://vgibox.eu/Spatial_attribute,1,1,2
http://vgibox.eu/Spatial_Reference_System,,3,3
http://vgibox.eu/Spatial_Query,1,1,2
http://vgibox.eu/Spatial_Autocorrelation,1,1,2
http://vgibox.eu/Spatial-Temporal_data_model,,3,3
http://vgibox.eu/Space_segment,3,1,4
http://vgibox.eu/Sources_of_errors,3,1,4
http://vgibox.eu/Sources_of_em_(any_object),7,,7
http://vgibox.eu/Skyradiance_correction,,1,1
http://vgibox.eu/Skin_or_kinetic_temperature,,2,2
http://vgibox.eu/Size,,1,1
http://vgibox.eu/Shape,,1,1
http://vgibox.eu/Set_of_transformation_equations,1,1,2
http://vgibox.eu/Set_of_gcp,5,1,6
http://vgibox.eu/Set_of_coordinates,,2,2
http://vgibox.eu/Sensor_characteristic,1,2,3
http://vgibox.eu/Sensor,2,1,3
http://vgibox.eu/Selection_of_records,,4,4
http://vgibox.eu/Selection_condition,1,1,2
http://vgibox.eu/Selection_by_attributes,,4,4
http://vgibox.eu/Scanning,,2,2
http://vgibox.eu/Scanner,1,1,2
http://vgibox.eu/Satellite-based_positioning,4,1,5
http://vgibox.eu/Satellite-based_augmentation_system,,1,1
http://vgibox.eu/Satellite,1,2,3
http://vgibox.eu/Sampling_method,3,1,4
http://vgibox.eu/Sample_set,2,2,4
http://vgibox.eu/SQL,1,,1
http://vgibox.eu/Rod,,1,1
http://vgibox.eu/Resolution,,1,1
http://vgibox.eu/Resampling_procedure,3,,3
http://vgibox.eu/Remote_sensing,,1,1
http://vgibox.eu/Relative_ratio,,1,1
http://vgibox.eu/Relative_positioning,3,1,4
http://vgibox.eu/Relative_atmospheric_correction,,1,1
http://vgibox.eu/Relationship,1,1,2
http://vgibox.eu/Relational_database,1,3,4
http://vgibox.eu/Relational_data_model,,3,3
http://vgibox.eu/Relation,4,1,5
http://vgibox.eu/Regular_Tessellation,2,1,3
http://vgibox.eu/Reflected_radiance,,2,2
http://vgibox.eu/Reflectance,2,1,3
http://vgibox.eu/Reference_surface,4,,4
http://vgibox.eu/Reference_set,,3,3
http://vgibox.eu/Reference_receiver,,1,1
http://vgibox.eu/Reclassification,2,1,3
http://vgibox.eu/Receiver_noise,,1,1
http://vgibox.eu/Receiver,4,3,7
http://vgibox.eu/Real_object_radiance,2,3,5
http://vgibox.eu/Ratio_data,2,1,3
http://vgibox.eu/Raster_distortion,1,1,2
http://vgibox.eu/Raster_Reclassification,2,2,4
http://vgibox.eu/Raster_Proximity,1,2,3
http://vgibox.eu/Raster_Overlay,,2,2
http://vgibox.eu/Raster_Measurements,,2,2
http://vgibox.eu/Raster,2,4,6
http://vgibox.eu/Random_error,2,1,3
http://vgibox.eu/Radiometric_requirement,1,1,2
http://vgibox.eu/Radiometric_operations,2,,2
http://vgibox.eu/Radiometric_correction,3,2,5
http://vgibox.eu/RMSE,2,2,4
http://vgibox.eu/RGB,1,3,4
http://vgibox.eu/Query,3,3,6
http://vgibox.eu/Quantitative_data,3,1,4
http://vgibox.eu/Qualitative_data,3,1,4
http://vgibox.eu/Pseudorange,1,,1
http://vgibox.eu/Pseudo_colour,1,1,2
http://vgibox.eu/Projection_class,1,,1
http://vgibox.eu/Primary_key,,1,1
http://vgibox.eu/Preliminary_legend,1,3,4
http://vgibox.eu/Preliminary_interpretation,1,4,5
http://vgibox.eu/Precision,1,1,2
http://vgibox.eu/Positional_quality,,6,6
http://vgibox.eu/Polygon,1,1,2
http://vgibox.eu/Point,1,1,2
http://vgibox.eu/Platform,4,,4
http://vgibox.eu/Planck_equation_for_real_bodies,2,,2
http://vgibox.eu/Planck_equation_for_blackbodies,5,,5
http://vgibox.eu/Pixel_based_classifcation,2,1,3
http://vgibox.eu/Photon_model,2,,2
http://vgibox.eu/Perkal_band,1,,1
http://vgibox.eu/Perception_property,,1,1
http://vgibox.eu/Pattern,,1,1
http://vgibox.eu/Overlay_Analysis,2,1,3
http://vgibox.eu/Orthogonal_raster_image,1,1,2
http://vgibox.eu/Ordinal_data,,1,1
http://vgibox.eu/Orbit_position,,2,2
http://vgibox.eu/Orbit_characteristic,2,1,3
http://vgibox.eu/Orbit,1,1,2
http://vgibox.eu/Optimal_Path_Finding,,1,1
http://vgibox.eu/Optics,,2,2
http://vgibox.eu/Optical_scanner,7,1,8
http://vgibox.eu/Observation,,1,1
http://vgibox.eu/Object_based_classifcation,,1,1
http://vgibox.eu/North_oriented_georeferenced_raster,,2,2
http://vgibox.eu/Non-linear,,1,1
http://vgibox.eu/Non-Spatial_Data,1,1,2
http://vgibox.eu/Nominal_data,,1,1
http://vgibox.eu/Node,2,,2
http://vgibox.eu/Network_positioning,2,1,3
http://vgibox.eu/Network_Particioning,,1,1
http://vgibox.eu/Network_Characteristics,1,,1
http://vgibox.eu/Network_Analysis,3,3,6
http://vgibox.eu/Network_Allocation,,1,1
http://vgibox.eu/Network,1,4,5
http://vgibox.eu/Neighbourhood_operations,2,1,3
http://vgibox.eu/Multi_path,,1,1
http://vgibox.eu/Modelling,3,,3
http://vgibox.eu/Model_Testing,5,,5
http://vgibox.eu/Model,2,3,5
http://vgibox.eu/Mobile_GIS,,1,1
http://vgibox.eu/Membership_functions,1,,1
http://vgibox.eu/Medium,2,,2
http://vgibox.eu/Mechanical_component,,1,1
http://vgibox.eu/Measurement,2,1,3
http://vgibox.eu/Mean_sea_level,,2,2
http://vgibox.eu/Mapping_procedure,5,,5
http://vgibox.eu/Map_type,,1,1
http://vgibox.eu/Map_symbol,1,1,2
http://vgibox.eu/Map_purpose,1,,1
http://vgibox.eu/Map_projection,1,4,5
http://vgibox.eu/Map_item,,1,1
http://vgibox.eu/Map_design,1,4,5
http://vgibox.eu/Map_coordinate_system,2,3,5
http://vgibox.eu/Map,3,3,6
http://vgibox.eu/Logical_infeference,,2,2
http://vgibox.eu/Logical_expression,2,,2
http://vgibox.eu/Logical_consitency,,1,1
http://vgibox.eu/Logic_and_set_theory,1,,1
http://vgibox.eu/Location,,1,1
http://vgibox.eu/Local_vertical_datum,1,1,2
http://vgibox.eu/Local_horizontal_datum,,1,1
http://vgibox.eu/Local_contrast_enhancement,,1,1
http://vgibox.eu/Linear,,1,1
http://vgibox.eu/Lineage,,1,1
http://vgibox.eu/Line,3,2,5
http://vgibox.eu/Land_cover,1,,1
http://vgibox.eu/Kirchoff_law,4,1,5
http://vgibox.eu/Join_condition,1,2,3
http://vgibox.eu/Join,,3,3
http://vgibox.eu/Irregular_Tessellation,,1,1
http://vgibox.eu/Ionosphere,,2,2
http://vgibox.eu/Interval_data,,1,1
http://vgibox.eu/Interpretation_elements,7,1,8
http://vgibox.eu/Interpolation,1,1,2
http://vgibox.eu/Increase_local_contrast,,1,1
http://vgibox.eu/Implementation_logic,6,,6
http://vgibox.eu/Image_requirement,4,1,5
http://vgibox.eu/Image_enhancement,4,2,6
http://vgibox.eu/Image_characteristic,2,4,6
http://vgibox.eu/Image_analysis,2,1,3
http://vgibox.eu/Image_Space,,3,3
http://vgibox.eu/Image,5,5,10
http://vgibox.eu/IHS,,2,2
http://vgibox.eu/IFOV,,1,1
http://vgibox.eu/Human_Vision,5,,5
http://vgibox.eu/Horizontal_positioning,,1,1
http://vgibox.eu/Horizontal_datum,3,3,6
http://vgibox.eu/Histogram_operation,1,1,2
http://vgibox.eu/Height_datum,1,,1
http://vgibox.eu/Height,,2,2
http://vgibox.eu/Haze_correction,1,1,2
http://vgibox.eu/Grey_scale,,1,1
http://vgibox.eu/Global_vertical_datum,1,1,2
http://vgibox.eu/Global_horizontal_datum,1,2,3
http://vgibox.eu/Global_contrast_enhancement,,1,1
http://vgibox.eu/Georeferencing,7,2,9
http://vgibox.eu/Georeferenced_raster,1,1,2
http://vgibox.eu/Geoid,,4,4
http://vgibox.eu/Geographical_representation,5,,5
http://vgibox.eu/Geographic_object,1,3,4
http://vgibox.eu/Geographic_field,2,1,3
http://vgibox.eu/Geographic_coordinate_system,1,4,5
http://vgibox.eu/Geographic_Phenomenon,2,1,3
http://vgibox.eu/Geocoding,2,1,3
http://vgibox.eu/Geocentric_datum,1,,1
http://vgibox.eu/GNSS_Constellation,3,,3
http://vgibox.eu/GIS,3,4,7
http://vgibox.eu/Foreign_key,1,1,2
http://vgibox.eu/Final_interpretation,,3,3
http://vgibox.eu/Filtering,4,2,6
http://vgibox.eu/Filter_type,3,,3
http://vgibox.eu/Fieldwork,4,2,6
http://vgibox.eu/Field_survey,,1,1
http://vgibox.eu/Feature_Space,,3,3
http://vgibox.eu/FOV,1,3,4
http://vgibox.eu/Error_matrix,1,,1
http://vgibox.eu/Equipotential_surface,1,,1
http://vgibox.eu/Energy,,2,2
http://vgibox.eu/Empirical,,1,1
http://vgibox.eu/Emitted_radiance,2,2,4
http://vgibox.eu/Emissivity,,3,3
http://vgibox.eu/Ellipsoid,2,2,4
http://vgibox.eu/Electro_magnetic_radiation,1,5,6
http://vgibox.eu/EM_spectrum,3,,3
http://vgibox.eu/Distortion_property,1,,1
http://vgibox.eu/Distance,1,3,4
http://vgibox.eu/Displayed_image,4,3,7
http://vgibox.eu/Discrete_Field,1,4,5
http://vgibox.eu/Dimensions,1,,1
http://vgibox.eu/Digitizing,1,1,2
http://vgibox.eu/Digital_camera,5,1,6
http://vgibox.eu/Digital_Image_Classification,6,1,7
http://vgibox.eu/Differential_positioning,,1,1
http://vgibox.eu/Detector,,1,1
http://vgibox.eu/Detection,,1,1
http://vgibox.eu/Decrease_local_contrast,,1,1
http://vgibox.eu/Database_management_system,1,,1
http://vgibox.eu/Database,3,2,5
http://vgibox.eu/Data_storage_and_maintainance,1,1,2
http://vgibox.eu/Data_representation,3,,3
http://vgibox.eu/Data_measurement_scale,3,2,5
http://vgibox.eu/Data_extraction,2,1,3
http://vgibox.eu/Data_classification,,1,1
http://vgibox.eu/Data_characteristics,3,,3
http://vgibox.eu/Data_attribute,10,,10
http://vgibox.eu/Data_analysis,1,1,2
http://vgibox.eu/Data_Quality,3,,3
http://vgibox.eu/Data_Modelling,2,1,3
http://vgibox.eu/Data,5,2,7
http://vgibox.eu/Crowdsourcing,,1,1
http://vgibox.eu/Cost_function,1,1,2
http://vgibox.eu/Correlation,3,1,4
http://vgibox.eu/Correction_of_imperfections_of_a_sensor,,1,1
http://vgibox.eu/Coordinate_transformation,1,,1
http://vgibox.eu/Coordinate_system,4,1,5
http://vgibox.eu/Control_segment,,2,2
http://vgibox.eu/Continuous_Field,,4,4
http://vgibox.eu/Cone,1,1,2
http://vgibox.eu/Component,,1,1
http://vgibox.eu/Completeness,,1,1
http://vgibox.eu/Colour_system,2,,2
http://vgibox.eu/Colour_composite,,1,1
http://vgibox.eu/Cognitive_mapping,,1,1
http://vgibox.eu/Code_measurement,,1,1
http://vgibox.eu/Clock_reading,,2,2
http://vgibox.eu/Classification_Algorithm,2,1,3
http://vgibox.eu/Class_separability,1,1,2
http://vgibox.eu/Class_Definition,1,1,2
http://vgibox.eu/Characteristic_of_time,,1,1
http://vgibox.eu/Cellular_Automata,,1,1
http://vgibox.eu/Catchment_delineation,,2,2
http://vgibox.eu/Carrier_phase_measurement,,1,1
http://vgibox.eu/Camera,1,1,2
http://vgibox.eu/Calibration,,1,1
http://vgibox.eu/CPE,1,,1
http://vgibox.eu/CMY,1,1,2
http://vgibox.eu/CCD,,1,1
http://vgibox.eu/Buffer,,1,1
http://vgibox.eu/Brightness_temperature,1,1,2
http://vgibox.eu/Boundary_Model,,1,1
http://vgibox.eu/Boundaries,,2,2
http://vgibox.eu/Blackbody_object_radiance,1,2,3
http://vgibox.eu/Base_station,1,2,3
http://vgibox.eu/Band_selection,2,1,3
http://vgibox.eu/Automatic,,1,1
http://vgibox.eu/Attribute_quality,4,5,9
http://vgibox.eu/Attribute_projection,1,,1
http://vgibox.eu/Attribute_Query,,1,1
http://vgibox.eu/Atmospheric_windows,,3,3
http://vgibox.eu/Atmospheric_transmittance,1,,1
http://vgibox.eu/Atmospheric_absorption,1,,1
